HotelName,Latitude,Longitude,TransportationModesCount,AttractionPlacesCount,Rating
Earl's Rajarata,8.3243653,80.3828417,3,7,49.2
Earl's Red Colombo,6.9283093,79.8781487,21,7,62.4
Earl's Red Kurunegala,7.4793997,80.338466,1,0,46.8
Earl's Red Passikudah,7.9217923,81.5687494,0,5,60.8
Earl's Reef Beruwala,6.4538487,79.9784668,7,6,65.6
Earl's Regency Hotel,7.281784,80.669506,2,3,90
Earl's Regent Hotel,7.2831615,80.6100986,5,6,88
East Beach Surf Resort,6.8476568,81.8307162,0,11,50.4
Eco Hotel Black & White,8.3537094,80.485781,1,1,72
Eco Square Resort,5.9476748,80.4605346,3,22,24
Eco Village,7.1077194,80.2823026,0,1,64
Ehalagala Lake Resort & SPA,7.9560799,80.7430572,1,12,55.2
EKHO Safari Tissa,6.28747,81.291232,1,10,60.8
EKHO Sigiriya,7.9517,80.755216,1,14,67.2
EKHO Surf Bentota,6.4199695,79.9966659,7,13,82
EKHO Weligama,5.9673207,80.422941,3,16,30
Elegance Range Resort,7.2684703,80.6901563,2,0,48
Elegant green beach hotel,8.5952721,81.223108,1,3,55.2
Elegant Hotel,7.221751,80.5838279,3,3,51.6
Elements Beach & Nature Resort,8.1318095,79.707183,0,0,56.4
Elephant Pass Resort - Minneriya,8.0661001,80.8862686,0,0,25.2
Elephant Watch Hut,8.0645463,80.780113,3,1,27
Elephas Resort & Spa,7.995271,80.734718,1,1,67.2
Ellen's Place,6.911536,79.8817131,19,14,54
Embiente Guest House,7.2371726,79.8431171,2,8,22.8
Emel Boutique Hotel,7.2676066,79.8573376,2,6,21.6
EMILDALE VILLA,6.6586921,79.9317476,1,2,28.2
Epic Unawatuna,6.008277,80.252728,1,16,56.4
Era Beach,6.8946423,79.8549616,19,23,25.2
Era Holiday House,5.9467958,80.4561307,3,22,27.6
Eraeliya Villas and Gardens,5.9581638,80.4138777,3,11,54
Escape Weligama,5.9742402,80.4388985,3,13,54
Estuary Hotel,5.9428777,80.5414334,4,14,51.6
Eth Yahana,6.4221434,81.3163452,1,3,50.4
Eth Yahana Resort,8.3137015,80.4052483,8,0,27.6
Etnico Surf Resort,6.8440245,81.8316909,0,11,24.6
Fair View Hotel,6.8655283,79.8612897,13,9,67.2
